country,continent,year,lifeExp,pop,gdpPercap
Ghana,Africa,2016,60.0470927686507,-29735339,1863.99621561705
Greece,Europe,2016,75.7902815480452,13918177,38565.6147337874
Guatemala,Americas,2016,68.7310136939078,-16344806,7270.20992844316
Guinea,Africa,2016,50.345792111279,12932158,1315.96459650821
Guinea-Bissau,Africa,2016,46.4462361517403,-1913653,821.855774231959
Haiti,Americas,2016,61.477877062725,11053658,1686.12051956796
Honduras,Americas,2016,70.6352421145803,9728891,4962.79810905085
"Hong Kong, China",Asia,2016,83.1553773851267,9074535,55618.9459176554
Hungary,Europe,2016,74.0439092293007,12942940,25205.4557527452
Iceland,Europe,2016,84.8493791681756,392510,50650.4789124929
India,Asia,2016,66.4026231874467,1443515230,3428.62765159405
Indonesia,Asia,2016,73.2915564808141,290611100,4961.27104638298
Iran,Asia,2016,67.3279332725052,90289641,16245.7823607452
Iraq,Asia,2016,59.907716528528,35749529,6270.55608537792
Ireland,Europe,2016,78.9830433215298,5341811,56943.5708561677
Israel,Asia,2016,81.6697663983608,8354682,35734.1864656867
Italy,Europe,2016,78.5983693821697,75592052,40001.8890049173
Jamaica,Americas,2016,70.0475431894558,3614171,10250.1846390631
Japan,Asia,2016,80.2869269655351,165708363,44320.9925701035
Jordan,Asia,2016,73.7910184814392,7869150,6329.88129292289
Kenya,Africa,2016,55.5848627164819,46293230,2038.88621137104
"Korea, Dem. Rep.",Asia,2016,66.2412368891103,30292242,2232.62434562699
"Korea, Rep.",Asia,2016,75.4377353786472,63758227,32693.3850466446
Kuwait,Asia,2016,78.9329459616101,3257226,66234.1949939551
Lebanon,Asia,2016,71.7304036251216,5097661,14643.2163337204
Lesotho,Africa,2016,38.7669713774716,2616443,2193.93821358914
Liberia,Africa,2016,44.5504928049894,4152124,584.282853816022
Libya,Africa,2016,76.0833447295882,7847988,16880.0361258004
Madagascar,Africa,2016,59.6908637762625,24917950,1468.2857506436
Malawi,Africa,2016,51.6097433461626,17325202,1067.93306111762
Malaysia,Asia,2016,69.5119644668445,32267671,17435.4379574379
Mali,Africa,2016,55.6057876365691,15641333,1461.8774491427
Mauritania,Africa,2016,64.9677866749707,4251084,2535.76224480446
Mauritius,Africa,2016,71.2608495407932,1626146,15336.6164797538
Mexico,Americas,2016,75.4712089771855,141311158,16767.3503403628
Mongolia,Asia,2016,63.6669400745974,3736365,4344.7468665684
Montenegro,Europe,2016,71.7393464283763,890156,12955.963610624
Morocco,Africa,2016,70.5121711604311,43884327,5338.73195402876
Mozambique,Africa,2016,41.4433286982576,25937152,1160.32356787128
Myanmar,Asia,2016,59.6621116063878,62090574,1320.10713430147
Namibia,Africa,2016,53.1685410890326,2671604,6734.40430079477
Nepal,Asia,2016,63.790614594842,37572327,1523.14874511995
Netherlands,Europe,2016,81.5856924763694,21541796,51508.400973018
New Zealand,Oceania,2016,79.767397879471,5350502,35262.2976098355
Nicaragua,Americas,2016,71.5704576643471,7377962,3848.55179892297
Niger,Africa,2016,57.3886770687825,16763324,870.469992240971
Nigeria,Africa,2016,49.2431324951475,175540513,2817.45209135434
Norway,Europe,2016,82.3258697360977,6016303,69096.2900844605
Oman,Asia,2016,81.7425134647424,4166366,31253.1256347342
Pakistan,Asia,2016,64.8932084318755,220051802,3644.90612773669
Panama,Americas,2016,78.105283901662,4214824,13729.070191284
Paraguay,Americas,2016,71.414616521664,8667291,5842.47016553284
Peru,Americas,2016,71.2234217102791,37277184,10375.7425308292
Philippines,Asia,2016,73.866120437598,118400473,4474.59120166721
Poland,Europe,2016,74.4876770026729,50073713,21555.4367926633
Portugal,Europe,2016,76.9079771362095,13835686,28725.5319141062
Puerto Rico,Americas,2016,80.1633457320647,5125238,27057.6060490836
Reunion,Africa,2016,75.8416742465899,1037522,10735.4974642127
Romania,Europe,2016,75.1995127852309,28958872,15136.3422991145
Rwanda,Africa,2016,41.791625572643,11518764,1195.65927096068
Sao Tome and Principe,Africa,2016,63.596172392962,259452,2242.57827143316
Saudi Arabia,Asia,2016,74.2329730433087,35881349,30312.1516691955
Senegal,Africa,2016,64.8220051679283,15947740,2395
Serbia,Europe,2016,74.3138139370541,13195344,13702.5745447628
Sierra Leone,Africa,2016,39.1822874781381,7987930,1204.16138180032
Singapore,Asia,2016,82.2679148218519,5918911,66003.9895566679
Slovak Republic,Europe,2016,74.5134708396669,7081752,26141.0498614507
Slovenia,Europe,2016,73.7915633154169,2612018,36075.169267042
Somalia,Africa,2016,49.1494546246282,11854404,1296.17935053057
South Africa,Africa,2016,50.3010194587805,57197176,12975.5649559849
Spain,Europe,2016,78.3379867510521,52582648,40352.079264524
Sri Lanka,Asia,2016,73.2801782989858,26491710,5557.82392183576
Sudan,Africa,2016,61.1608005824034,54980807,3638.33591508955
Swaziland,Africa,2016,40.6222557530175,1472985,6331.43966771981
Sweden,Europe,2016,79.4850660938021,11740414,47408.7443588726
Switzerland,Europe,2016,81.7993548931476,9821059,52511.4087690587
Syria,Asia,2016,74.1465843450859,25109171,5858.91838289982
Taiwan,Asia,2016,78.5701815812593,30126582,40212.272026741
Tanzania,Africa,2016,56.1842654876921,49581532,1547.99932959882
Thailand,Asia,2016,69.4325515153062,84588593,10442.9988183405
Togo,Africa,2016,58.3948074670635,7412052,1244.29789519393
Trinidad and Tobago,Americas,2016,73.4211974853692,1373590,25212.1470889112
Tunisia,Africa,2016,72.1093655032424,13359005,9929.82495419242
Turkey,Europe,2016,70.7208312998566,92506241,11842.3813165056
Uganda,Africa,2016,52.5444508251148,37921517,1475.18490171137
United Kingdom,Europe,2016,79.4631144800025,79009109,46481.4669372799
United States,Americas,2016,76.4227221261417,391481931,60136.0019349871
Uruguay,Americas,2016,74.8590384394481,4481744,14859.6601519434
Venezuela,Americas,2016,72.7148217077757,33910060,15985.9045417316
Vietnam,Asia,2016,74.3728350781345,110841062,3416.75844114708
West Bank and Gaza,Asia,2016,70.7363937631867,-5223831,4230.75857296488
"Yemen, Rep.",Asia,2016,64.1022093847148,28875265,3201.18443892738
Zambia,Africa,2016,40.3718172558454,15269845,1785.13604827026
Zimbabwe,Africa,2016,46.5002918521011,16004485,656.154049212842
Sweden,Europe,2016,79.4850660938021,11740414,47408.7443588726
